book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,grc,mal,0,,834,BLEU,11.08/41.82/16.21/7.04/3.20/0.996/13271/13320
ALL,grc,mal,0,,834,CHRF3,51.73
ALL,grc,mal,0,,834,WER,56.75
ALL,grc,mal,0,,834,TER,81.77
ALL,grc,mal,0,,834,spBLEU,27.71
ROM,grc,mal,0,,430,BLEU,10.97/40.81/15.93/7.07/3.23/0.994/5879/5912
ROM,grc,mal,0,,430,CHRF3,51.74
ROM,grc,mal,0,,430,WER,57.51
ROM,grc,mal,0,,430,TER,83.00
ROM,grc,mal,0,,430,spBLEU,27.56
REV,grc,mal,0,,404,BLEU,11.16/42.63/16.43/7.02/3.19/0.998/7392/7408
REV,grc,mal,0,,404,CHRF3,51.73
REV,grc,mal,0,,404,WER,55.95
REV,grc,mal,0,,404,TER,80.79
REV,grc,mal,0,,404,spBLEU,27.83
