book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,7277,BLEU,15.41/47.82/20.96/10.30/5.47/1.000/161622/158289
ALL,swh,cwe,0,,7277,CHRF3,46.46
ALL,swh,cwe,0,,7277,WER,53.68
ALL,swh,cwe,0,,7277,TER,78.94
ALL,swh,cwe,0,,7277,spBLEU,21.95
MAT,swh,cwe,0,,1071,BLEU,21.84/54.66/28.20/15.81/9.34/1.000/22133/21753
MAT,swh,cwe,0,,1071,CHRF3,52.90
MAT,swh,cwe,0,,1071,WER,46.76
MAT,swh,cwe,0,,1071,TER,72.07
MAT,swh,cwe,0,,1071,spBLEU,29.82
LUK,swh,cwe,0,,1150,BLEU,20.62/53.56/27.08/14.73/8.46/1.000/24062/23422
LUK,swh,cwe,0,,1150,CHRF3,52.04
LUK,swh,cwe,0,,1150,WER,49.08
LUK,swh,cwe,0,,1150,TER,74.06
LUK,swh,cwe,0,,1150,spBLEU,28.26
JHN,swh,cwe,0,,879,BLEU,20.03/53.45/27.08/14.12/7.88/1.000/18240/17360
JHN,swh,cwe,0,,879,CHRF3,52.21
JHN,swh,cwe,0,,879,WER,47.38
JHN,swh,cwe,0,,879,TER,74.67
JHN,swh,cwe,0,,879,spBLEU,26.73
ACT,swh,cwe,0,,1006,BLEU,13.65/46.03/19.33/8.80/4.43/1.000/23227/22075
ACT,swh,cwe,0,,1006,CHRF3,47.37
ACT,swh,cwe,0,,1006,WER,55.95
ACT,swh,cwe,0,,1006,TER,80.92
ACT,swh,cwe,0,,1006,spBLEU,20.41
ROM,swh,cwe,0,,433,BLEU,11.02/43.61/15.71/6.72/3.20/1.000/10039/9885
ROM,swh,cwe,0,,433,CHRF3,42.18
ROM,swh,cwe,0,,433,WER,59.69
ROM,swh,cwe,0,,433,TER,85.02
ROM,swh,cwe,0,,433,spBLEU,17.15
1CO,swh,cwe,0,,437,BLEU,12.12/43.84/17.50/7.82/3.59/1.000/9466/9418
1CO,swh,cwe,0,,437,CHRF3,41.86
1CO,swh,cwe,0,,437,WER,57.89
1CO,swh,cwe,0,,437,TER,81.59
1CO,swh,cwe,0,,437,spBLEU,17.94
2CO,swh,cwe,0,,256,BLEU,8.51/39.00/12.42/4.97/2.20/0.998/6044/6056
2CO,swh,cwe,0,,256,CHRF3,38.25
2CO,swh,cwe,0,,256,WER,63.29
2CO,swh,cwe,0,,256,TER,87.33
2CO,swh,cwe,0,,256,spBLEU,13.83
GAL,swh,cwe,0,,149,BLEU,13.33/46.22/18.61/8.81/4.44/0.984/3239/3290
GAL,swh,cwe,0,,149,CHRF3,42.76
GAL,swh,cwe,0,,149,WER,56.79
GAL,swh,cwe,0,,149,TER,80.15
GAL,swh,cwe,0,,149,spBLEU,19.03
EPH,swh,cwe,0,,155,BLEU,10.09/43.70/15.20/6.09/2.74/0.983/3169/3222
EPH,swh,cwe,0,,155,CHRF3,39.92
EPH,swh,cwe,0,,155,WER,61.64
EPH,swh,cwe,0,,155,TER,84.73
EPH,swh,cwe,0,,155,spBLEU,16.79
PHP,swh,cwe,0,,104,BLEU,9.57/38.48/13.68/5.67/2.81/1.000/2305/2144
PHP,swh,cwe,0,,104,CHRF3,39.88
PHP,swh,cwe,0,,104,WER,62.47
PHP,swh,cwe,0,,104,TER,89.53
PHP,swh,cwe,0,,104,spBLEU,14.93
COL,swh,cwe,0,,95,BLEU,8.63/42.77/13.56/5.14/1.86/1.000/2116/2112
COL,swh,cwe,0,,95,CHRF3,39.82
COL,swh,cwe,0,,95,WER,61.11
COL,swh,cwe,0,,95,TER,84.78
COL,swh,cwe,0,,95,spBLEU,15.03
1TH,swh,cwe,0,,89,BLEU,9.36/41.26/14.43/5.65/2.29/1.000/1842/1768
1TH,swh,cwe,0,,89,CHRF3,41.48
1TH,swh,cwe,0,,89,WER,58.69
1TH,swh,cwe,0,,89,TER,82.69
1TH,swh,cwe,0,,89,spBLEU,16.70
2TH,swh,cwe,0,,47,BLEU,12.59/44.97/17.43/8.27/4.61/0.957/965/1007
2TH,swh,cwe,0,,47,CHRF3,42.04
2TH,swh,cwe,0,,47,WER,54.79
2TH,swh,cwe,0,,47,TER,76.82
2TH,swh,cwe,0,,47,spBLEU,18.81
1TI,swh,cwe,0,,113,BLEU,10.72/43.61/16.28/6.82/3.34/0.951/2527/2655
1TI,swh,cwe,0,,113,CHRF3,40.27
1TI,swh,cwe,0,,113,WER,58.30
1TI,swh,cwe,0,,113,TER,80.79
1TI,swh,cwe,0,,113,spBLEU,16.89
2TI,swh,cwe,0,,83,BLEU,9.33/41.35/14.52/5.82/2.30/0.985/1729/1755
2TI,swh,cwe,0,,83,CHRF3,40.00
2TI,swh,cwe,0,,83,WER,56.55
2TI,swh,cwe,0,,83,TER,81.74
2TI,swh,cwe,0,,83,spBLEU,15.86
TIT,swh,cwe,0,,46,BLEU,7.90/39.50/11.96/4.68/1.79/0.997/1033/1036
TIT,swh,cwe,0,,46,CHRF3,38.48
TIT,swh,cwe,0,,46,WER,61.15
TIT,swh,cwe,0,,46,TER,85.10
TIT,swh,cwe,0,,46,spBLEU,12.44
PHM,swh,cwe,0,,25,BLEU,14.18/46.44/20.94/9.75/4.27/1.000/450/446
PHM,swh,cwe,0,,25,CHRF3,44.50
PHM,swh,cwe,0,,25,WER,57.96
PHM,swh,cwe,0,,25,TER,78.41
PHM,swh,cwe,0,,25,spBLEU,21.62
HEB,swh,cwe,0,,303,BLEU,10.35/42.76/15.82/6.58/2.75/0.985/7023/7131
HEB,swh,cwe,0,,303,CHRF3,40.73
HEB,swh,cwe,0,,303,WER,59.08
HEB,swh,cwe,0,,303,TER,82.71
HEB,swh,cwe,0,,303,spBLEU,15.73
JAS,swh,cwe,0,,108,BLEU,9.96/42.25/14.64/5.96/2.67/1.000/2348/2284
JAS,swh,cwe,0,,108,CHRF3,41.16
JAS,swh,cwe,0,,108,WER,58.07
JAS,swh,cwe,0,,108,TER,82.69
JAS,swh,cwe,0,,108,spBLEU,15.94
1PE,swh,cwe,0,,105,BLEU,9.27/42.57/14.48/5.81/2.06/1.000/2549/2491
1PE,swh,cwe,0,,105,CHRF3,41.80
1PE,swh,cwe,0,,105,WER,60.17
1PE,swh,cwe,0,,105,TER,84.11
1PE,swh,cwe,0,,105,spBLEU,16.87
2PE,swh,cwe,0,,61,BLEU,10.08/41.72/14.21/6.21/2.95/0.987/1539/1559
2PE,swh,cwe,0,,61,CHRF3,39.55
2PE,swh,cwe,0,,61,WER,58.26
2PE,swh,cwe,0,,61,TER,81.60
2PE,swh,cwe,0,,61,spBLEU,15.55
1JN,swh,cwe,0,,105,BLEU,15.42/47.52/20.76/10.40/5.51/1.000/2422/2407
1JN,swh,cwe,0,,105,CHRF3,45.32
1JN,swh,cwe,0,,105,WER,53.00
1JN,swh,cwe,0,,105,TER,76.62
1JN,swh,cwe,0,,105,spBLEU,20.67
2JN,swh,cwe,0,,13,BLEU,11.39/45.07/17.34/6.59/3.27/1.000/284/280
2JN,swh,cwe,0,,13,CHRF3,46.66
2JN,swh,cwe,0,,13,WER,54.96
2JN,swh,cwe,0,,13,TER,80.17
2JN,swh,cwe,0,,13,spBLEU,16.76
3JN,swh,cwe,0,,15,BLEU,8.32/36.83/11.00/4.56/2.59/1.000/315/289
3JN,swh,cwe,0,,15,CHRF3,39.91
3JN,swh,cwe,0,,15,WER,58.30
3JN,swh,cwe,0,,15,TER,91.94
3JN,swh,cwe,0,,15,spBLEU,11.25
JUD,swh,cwe,0,,25,BLEU,10.04/44.09/15.76/6.61/2.46/0.974/685/703
JUD,swh,cwe,0,,25,CHRF3,40.45
JUD,swh,cwe,0,,25,WER,57.38
JUD,swh,cwe,0,,25,TER,82.42
JUD,swh,cwe,0,,25,spBLEU,16.18
REV,swh,cwe,0,,404,BLEU,11.63/44.25/16.73/7.30/3.38/1.000/11871/11741
REV,swh,cwe,0,,404,CHRF3,42.75
REV,swh,cwe,0,,404,WER,55.72
REV,swh,cwe,0,,404,TER,79.14
REV,swh,cwe,0,,404,spBLEU,16.55
