book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hau,daa,0,,7227,BLEU,13.97/43.24/17.93/9.55/5.94/0.965/215148/222870
ALL,hau,daa,0,,7227,CHRF3,34.71
ALL,hau,daa,0,,7227,WER,65.09
ALL,hau,daa,0,,7227,TER,84.60
ALL,hau,daa,0,,7227,spBLEU,20.08
MAT,hau,daa,0,,1066,BLEU,30.08/54.19/33.19/24.03/18.95/1.000/29773/29196
MAT,hau,daa,0,,1066,CHRF3,48.60
MAT,hau,daa,0,,1066,WER,52.95
MAT,hau,daa,0,,1066,TER,68.99
MAT,hau,daa,0,,1066,spBLEU,35.57
LUK,hau,daa,0,,1143,BLEU,20.54/46.11/24.30/15.76/11.36/0.970/30522/31439
LUK,hau,daa,0,,1143,CHRF3,38.85
LUK,hau,daa,0,,1143,WER,60.94
LUK,hau,daa,0,,1143,TER,78.75
LUK,hau,daa,0,,1143,spBLEU,26.00
JHN,hau,daa,0,,872,BLEU,15.57/46.98/21.04/10.54/5.64/1.000/24562/24439
JHN,hau,daa,0,,872,CHRF3,38.34
JHN,hau,daa,0,,872,WER,62.82
JHN,hau,daa,0,,872,TER,81.02
JHN,hau,daa,0,,872,spBLEU,21.22
ACT,hau,daa,0,,998,BLEU,10.74/43.28/16.53/7.12/2.99/0.967/31317/32375
ACT,hau,daa,0,,998,CHRF3,34.46
ACT,hau,daa,0,,998,WER,67.45
ACT,hau,daa,0,,998,TER,85.94
ACT,hau,daa,0,,998,spBLEU,18.37
ROM,hau,daa,0,,428,BLEU,6.98/40.53/12.33/4.47/1.67/0.893/13424/14944
ROM,hau,daa,0,,428,CHRF3,29.12
ROM,hau,daa,0,,428,WER,68.18
ROM,hau,daa,0,,428,TER,88.29
ROM,hau,daa,0,,428,spBLEU,13.37
1CO,hau,daa,0,,434,BLEU,6.23/38.79/11.37/3.84/1.22/0.924/13015/14050
1CO,hau,daa,0,,434,CHRF3,28.90
1CO,hau,daa,0,,434,WER,69.12
1CO,hau,daa,0,,434,TER,90.47
1CO,hau,daa,0,,434,spBLEU,12.53
2CO,hau,daa,0,,253,BLEU,5.52/36.93/10.24/3.22/1.18/0.896/8116/9009
2CO,hau,daa,0,,253,CHRF3,26.73
2CO,hau,daa,0,,253,WER,70.13
2CO,hau,daa,0,,253,TER,90.40
2CO,hau,daa,0,,253,spBLEU,10.20
GAL,hau,daa,0,,148,BLEU,7.05/37.98/11.56/4.39/1.93/0.903/4326/4769
GAL,hau,daa,0,,148,CHRF3,28.29
GAL,hau,daa,0,,148,WER,73.33
GAL,hau,daa,0,,148,TER,92.51
GAL,hau,daa,0,,148,spBLEU,12.82
EPH,hau,daa,0,,153,BLEU,5.98/36.53/10.12/3.31/1.27/0.953/4322/4529
EPH,hau,daa,0,,153,CHRF3,27.97
EPH,hau,daa,0,,153,WER,73.70
EPH,hau,daa,0,,153,TER,95.01
EPH,hau,daa,0,,153,spBLEU,12.20
PHP,hau,daa,0,,104,BLEU,5.34/38.13/10.33/3.55/1.33/0.813/2940/3547
PHP,hau,daa,0,,104,CHRF3,25.56
PHP,hau,daa,0,,104,WER,69.86
PHP,hau,daa,0,,104,TER,89.62
PHP,hau,daa,0,,104,spBLEU,10.39
COL,hau,daa,0,,94,BLEU,5.32/35.18/8.35/2.72/1.02/0.996/2837/2847
COL,hau,daa,0,,94,CHRF3,29.17
COL,hau,daa,0,,94,WER,74.86
COL,hau,daa,0,,94,TER,94.82
COL,hau,daa,0,,94,spBLEU,12.00
1TH,hau,daa,0,,89,BLEU,6.19/38.06/10.74/3.53/1.16/0.967/2501/2584
1TH,hau,daa,0,,89,CHRF3,29.47
1TH,hau,daa,0,,89,WER,71.72
1TH,hau,daa,0,,89,TER,92.79
1TH,hau,daa,0,,89,spBLEU,13.50
2TH,hau,daa,0,,47,BLEU,6.22/36.36/10.68/3.61/1.14/0.983/1367/1391
2TH,hau,daa,0,,47,CHRF3,30.19
2TH,hau,daa,0,,47,WER,70.74
2TH,hau,daa,0,,47,TER,92.32
2TH,hau,daa,0,,47,spBLEU,11.97
1TI,hau,daa,0,,112,BLEU,5.40/36.20/9.42/3.01/1.01/0.951/3412/3582
1TI,hau,daa,0,,112,CHRF3,28.24
1TI,hau,daa,0,,112,WER,69.81
1TI,hau,daa,0,,112,TER,90.72
1TI,hau,daa,0,,112,spBLEU,11.80
2TI,hau,daa,0,,83,BLEU,6.49/37.96/11.67/4.20/1.22/0.940/2379/2527
2TI,hau,daa,0,,83,CHRF3,29.44
2TI,hau,daa,0,,83,WER,69.63
2TI,hau,daa,0,,83,TER,89.36
2TI,hau,daa,0,,83,spBLEU,12.34
TIT,hau,daa,0,,46,BLEU,2.71/33.95/8.35/1.76/0.16/0.910/1399/1531
TIT,hau,daa,0,,46,CHRF3,26.82
TIT,hau,daa,0,,46,WER,72.97
TIT,hau,daa,0,,46,TER,92.81
TIT,hau,daa,0,,46,spBLEU,10.30
PHM,hau,daa,0,,24,BLEU,5.57/34.42/8.44/3.00/1.57/0.916/581/632
PHM,hau,daa,0,,24,CHRF3,25.39
PHM,hau,daa,0,,24,WER,73.80
PHM,hau,daa,0,,24,TER,92.90
PHM,hau,daa,0,,24,spBLEU,7.86
HEB,hau,daa,0,,302,BLEU,7.15/39.21/12.01/4.57/1.86/0.898/9546/10572
HEB,hau,daa,0,,302,CHRF3,28.85
HEB,hau,daa,0,,302,WER,68.83
HEB,hau,daa,0,,302,TER,89.66
HEB,hau,daa,0,,302,spBLEU,13.07
JAS,hau,daa,0,,108,BLEU,5.42/35.27/9.05/2.85/1.13/0.956/3235/3380
JAS,hau,daa,0,,108,CHRF3,27.67
JAS,hau,daa,0,,108,WER,72.23
JAS,hau,daa,0,,108,TER,94.16
JAS,hau,daa,0,,108,spBLEU,9.95
1PE,hau,daa,0,,105,BLEU,6.40/39.14/11.93/4.20/1.21/0.918/3375/3665
1PE,hau,daa,0,,105,CHRF3,29.02
1PE,hau,daa,0,,105,WER,69.15
