book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,7247,BLEU,17.33/41.16/22.00/12.59/7.92/1.000/232347/221836
ALL,npi,taj,0,,7247,CHRF3,45.55
ALL,npi,taj,0,,7247,WER,63.48
ALL,npi,taj,0,,7247,TER,82.76
ALL,npi,taj,0,,7247,spBLEU,33.75
MAT,npi,taj,0,,1066,BLEU,29.28/51.15/33.51/23.85/17.98/1.000/32866/30503
MAT,npi,taj,0,,1066,CHRF3,55.58
MAT,npi,taj,0,,1066,WER,54.50
MAT,npi,taj,0,,1066,TER,70.50
MAT,npi,taj,0,,1066,spBLEU,44.34
LUK,npi,taj,0,,1142,BLEU,21.76/44.73/26.30/16.74/11.39/1.000/34403/31594
LUK,npi,taj,0,,1142,CHRF3,49.77
LUK,npi,taj,0,,1142,WER,61.51
LUK,npi,taj,0,,1142,TER,80.17
LUK,npi,taj,0,,1142,spBLEU,37.25
JHN,npi,taj,0,,878,BLEU,22.04/47.87/27.70/16.85/10.57/1.000/26499/25179
JHN,npi,taj,0,,878,CHRF3,51.08
JHN,npi,taj,0,,878,WER,58.66
JHN,npi,taj,0,,878,TER,76.33
JHN,npi,taj,0,,878,spBLEU,40.31
ACT,npi,taj,0,,1002,BLEU,14.98/39.34/20.13/10.57/6.02/1.000/31811/30672
ACT,npi,taj,0,,1002,CHRF3,44.62
ACT,npi,taj,0,,1002,WER,63.70
ACT,npi,taj,0,,1002,TER,83.81
ACT,npi,taj,0,,1002,spBLEU,31.73
ROM,npi,taj,0,,431,BLEU,11.47/36.86/16.81/7.53/3.71/1.000/14505/14305
ROM,npi,taj,0,,431,CHRF3,40.53
ROM,npi,taj,0,,431,WER,67.26
ROM,npi,taj,0,,431,TER,87.05
ROM,npi,taj,0,,431,spBLEU,28.32
1CO,npi,taj,0,,437,BLEU,12.39/37.44/17.62/8.38/4.26/1.000/14056/13857
1CO,npi,taj,0,,437,CHRF3,40.56
1CO,npi,taj,0,,437,WER,66.19
1CO,npi,taj,0,,437,TER,85.76
1CO,npi,taj,0,,437,spBLEU,29.30
2CO,npi,taj,0,,255,BLEU,9.92/35.99/15.51/6.63/3.07/0.961/8622/8965
2CO,npi,taj,0,,255,CHRF3,38.13
2CO,npi,taj,0,,255,WER,68.10
2CO,npi,taj,0,,255,TER,87.49
2CO,npi,taj,0,,255,spBLEU,27.99
GAL,npi,taj,0,,149,BLEU,10.29/35.11/15.20/6.66/3.16/1.000/4788/4578
GAL,npi,taj,0,,149,CHRF3,40.52
GAL,npi,taj,0,,149,WER,69.82
GAL,npi,taj,0,,149,TER,89.74
GAL,npi,taj,0,,149,spBLEU,26.95
