book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,3170,BLEU,10.25/39.53/14.58/6.35/3.02/1.000/45982/45864
ALL,tam,mal,0,,3170,CHRF3,50.31
ALL,tam,mal,0,,3170,WER,56.97
ALL,tam,mal,0,,3170,TER,83.35
ALL,tam,mal,0,,3170,spBLEU,25.13
ROM,tam,mal,0,,432,BLEU,11.04/40.54/15.16/6.95/3.48/1.000/5986/5934
ROM,tam,mal,0,,432,CHRF3,50.52
ROM,tam,mal,0,,432,WER,56.86
ROM,tam,mal,0,,432,TER,82.71
ROM,tam,mal,0,,432,spBLEU,25.70
1CO,tam,mal,0,,437,BLEU,10.35/41.90/15.43/6.37/2.79/1.000/6120/6043
1CO,tam,mal,0,,437,CHRF3,53.08
1CO,tam,mal,0,,437,WER,53.15
1CO,tam,mal,0,,437,TER,82.05
1CO,tam,mal,0,,437,spBLEU,26.85
2CO,tam,mal,0,,256,BLEU,8.14/38.37/12.44/4.65/1.98/1.000/3954/3936
2CO,tam,mal,0,,256,CHRF3,49.09
2CO,tam,mal,0,,256,WER,59.37
2CO,tam,mal,0,,256,TER,86.82
2CO,tam,mal,0,,256,spBLEU,22.42
GAL,tam,mal,0,,149,BLEU,11.23/43.45/16.47/7.25/3.35/0.978/1940/1983
GAL,tam,mal,0,,149,CHRF3,53.23
GAL,tam,mal,0,,149,WER,53.75
GAL,tam,mal,0,,149,TER,80.37
GAL,tam,mal,0,,149,spBLEU,29.17
EPH,tam,mal,0,,155,BLEU,8.44/32.23/11.31/5.34/2.60/1.000/1809/1775
EPH,tam,mal,0,,155,CHRF3,45.76
EPH,tam,mal,0,,155,WER,64.45
EPH,tam,mal,0,,155,TER,92.00
EPH,tam,mal,0,,155,spBLEU,21.78
PHP,tam,mal,0,,104,BLEU,9.81/37.55/13.30/6.47/3.27/0.967/1382/1428
PHP,tam,mal,0,,104,CHRF3,46.67
PHP,tam,mal,0,,104,WER,59.59
PHP,tam,mal,0,,104,TER,84.20
PHP,tam,mal,0,,104,spBLEU,22.40
COL,tam,mal,0,,95,BLEU,7.52/30.55/10.07/4.54/2.29/1.000/1247/1240
COL,tam,mal,0,,95,CHRF3,44.06
COL,tam,mal,0,,95,WER,64.67
COL,tam,mal,0,,95,TER,91.78
COL,tam,mal,0,,95,spBLEU,19.57
1TH,tam,mal,0,,89,BLEU,11.53/42.08/16.47/7.44/3.43/1.000/1200/1190
1TH,tam,mal,0,,89,CHRF3,52.33
1TH,tam,mal,0,,89,WER,60.85
1TH,tam,mal,0,,89,TER,80.49
1TH,tam,mal,0,,89,spBLEU,26.85
2TH,tam,mal,0,,47,BLEU,13.21/41.93/18.29/9.29/4.28/1.000/632/621
2TH,tam,mal,0,,47,CHRF3,53.60
2TH,tam,mal,0,,47,WER,58.03
2TH,tam,mal,0,,47,TER,79.68
2TH,tam,mal,0,,47,spBLEU,29.46
1TI,tam,mal,0,,113,BLEU,5.59/30.71/9.38/3.17/1.07/1.000/1553/1451
1TI,tam,mal,0,,113,CHRF3,45.72
1TI,tam,mal,0,,113,WER,64.53
1TI,tam,mal,0,,113,TER,94.63
1TI,tam,mal,0,,113,spBLEU,19.96
2TI,tam,mal,0,,83,BLEU,8.77/35.46/12.84/5.53/2.35/1.000/1142/1056
2TI,tam,mal,0,,83,CHRF3,47.53
2TI,tam,mal,0,,83,WER,61.66
2TI,tam,mal,0,,83,TER,88.76
2TI,tam,mal,0,,83,spBLEU,22.50
TIT,tam,mal,0,,46,BLEU,2.80/25.49/7.42/1.54/0.21/1.000/612/557
TIT,tam,mal,0,,46,CHRF3,43.11
TIT,tam,mal,0,,46,WER,67.28
TIT,tam,mal,0,,46,TER,94.69
