book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,7277,BLEU,14.34/46.14/19.59/9.44/4.96/1.000/161423/158289
ALL,swh,cwe,0,,7277,CHRF3,45.18
ALL,swh,cwe,0,,7277,WER,55.71
ALL,swh,cwe,0,,7277,TER,80.89
ALL,swh,cwe,0,,7277,spBLEU,20.53
MAT,swh,cwe,0,,1071,BLEU,20.65/53.24/26.85/14.73/8.64/1.000/22277/21753
MAT,swh,cwe,0,,1071,CHRF3,51.88
MAT,swh,cwe,0,,1071,WER,48.68
MAT,swh,cwe,0,,1071,TER,74.22
MAT,swh,cwe,0,,1071,spBLEU,28.37
LUK,swh,cwe,0,,1150,BLEU,18.46/49.86/24.11/12.88/7.50/1.000/23820/23422
LUK,swh,cwe,0,,1150,CHRF3,48.78
LUK,swh,cwe,0,,1150,WER,53.03
LUK,swh,cwe,0,,1150,TER,78.42
LUK,swh,cwe,0,,1150,spBLEU,25.01
JHN,swh,cwe,0,,879,BLEU,19.34/52.65/26.45/13.51/7.44/1.000/18279/17360
JHN,swh,cwe,0,,879,CHRF3,51.38
JHN,swh,cwe,0,,879,WER,48.95
JHN,swh,cwe,0,,879,TER,75.83
JHN,swh,cwe,0,,879,spBLEU,25.88
ACT,swh,cwe,0,,1006,BLEU,12.53/44.19/17.96/7.98/3.89/1.000/23432/22075
ACT,swh,cwe,0,,1006,CHRF3,46.24
ACT,swh,cwe,0,,1006,WER,57.75
ACT,swh,cwe,0,,1006,TER,83.57
ACT,swh,cwe,0,,1006,spBLEU,19.13
ROM,swh,cwe,0,,433,BLEU,10.33/42.72/15.16/6.31/2.79/1.000/9903/9885
ROM,swh,cwe,0,,433,CHRF3,41.37
ROM,swh,cwe,0,,433,WER,60.07
ROM,swh,cwe,0,,433,TER,85.27
ROM,swh,cwe,0,,433,spBLEU,16.42
1CO,swh,cwe,0,,437,BLEU,11.36/41.98/15.92/7.05/3.54/1.000/9558/9418
1CO,swh,cwe,0,,437,CHRF3,40.74
1CO,swh,cwe,0,,437,WER,59.87
1CO,swh,cwe,0,,437,TER,84.12
1CO,swh,cwe,0,,437,spBLEU,16.77
2CO,swh,cwe,0,,256,BLEU,7.74/38.25/12.08/4.65/1.74/0.991/6000/6056
2CO,swh,cwe,0,,256,CHRF3,38.20
2CO,swh,cwe,0,,256,WER,63.80
2CO,swh,cwe,0,,256,TER,87.60
