book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,5852,BLEU,15.42/47.88/21.26/10.47/5.31/1.000/136814/129609
ALL,swh,cwe,0,,5852,CHRF3,48.96
ALL,swh,cwe,0,,5852,WER,56.70
ALL,swh,cwe,0,,5852,TER,80.35
ALL,swh,cwe,0,,5852,spBLEU,23.42
GEN,swh,cwe,0,,1533,BLEU,18.88/52.36/25.30/13.25/7.25/1.000/34365/32544
GEN,swh,cwe,0,,1533,CHRF3,51.97
GEN,swh,cwe,0,,1533,WER,51.30
GEN,swh,cwe,0,,1533,TER,76.09
GEN,swh,cwe,0,,1533,spBLEU,27.01
EXO,swh,cwe,0,,1213,BLEU,15.97/47.84/21.46/10.96/5.78/1.000/28904/27485
EXO,swh,cwe,0,,1213,CHRF3,48.39
EXO,swh,cwe,0,,1213,WER,56.34
EXO,swh,cwe,0,,1213,TER,79.46
EXO,swh,cwe,0,,1213,spBLEU,23.47
LEV,swh,cwe,0,,859,BLEU,12.74/44.81/18.31/8.56/3.75/1.000/21360/20142
LEV,swh,cwe,0,,859,CHRF3,46.51
LEV,swh,cwe,0,,859,WER,61.02
LEV,swh,cwe,0,,859,TER,83.43
LEV,swh,cwe,0,,859,spBLEU,21.03
NUM,swh,cwe,0,,1288,BLEU,14.65/46.25/20.21/9.99/4.94/1.000/29422/27446
NUM,swh,cwe,0,,1288,CHRF3,48.73
NUM,swh,cwe,0,,1288,WER,59.80
NUM,swh,cwe,0,,1288,TER,82.12
NUM,swh,cwe,0,,1288,spBLEU,22.53
DEU,swh,cwe,0,,959,BLEU,12.76/46.16/19.04/8.10/3.73/1.000/22763/21992
DEU,swh,cwe,0,,959,CHRF3,47.98
DEU,swh,cwe,0,,959,WER,57.75
DEU,swh,cwe,0,,959,TER,82.45
DEU,swh,cwe,0,,959,spBLEU,21.57
