book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hau,daa,0,,829,BLEU,17.18/48.88/22.40/11.92/6.68/1.000/31675/29558
ALL,hau,daa,0,,829,CHRF3,43.94
ALL,hau,daa,0,,829,WER,63.32
ALL,hau,daa,0,,829,TER,82.43
ALL,hau,daa,0,,829,spBLEU,26.29
ROM,hau,daa,0,,428,BLEU,19.26/51.33/24.63/13.68/7.95/1.000/15263/14944
ROM,hau,daa,0,,428,CHRF3,44.47
ROM,hau,daa,0,,428,WER,60.21
ROM,hau,daa,0,,428,TER,79.16
ROM,hau,daa,0,,428,spBLEU,28.56
REV,hau,daa,0,,401,BLEU,15.23/46.61/20.34/10.29/5.51/1.000/16412/14614
REV,hau,daa,0,,401,CHRF3,43.41
REV,hau,daa,0,,401,WER,66.64
REV,hau,daa,0,,401,TER,85.80
REV,hau,daa,0,,401,spBLEU,24.24
