book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,7277,BLEU,15.17/47.36/20.62/10.12/5.36/1.000/159036/158289
ALL,swh,cwe,0,,7277,CHRF3,45.70
ALL,swh,cwe,0,,7277,WER,53.25
ALL,swh,cwe,0,,7277,TER,78.76
ALL,swh,cwe,0,,7277,spBLEU,21.53
MAT,swh,cwe,0,,1071,BLEU,21.28/53.75/27.47/15.37/9.04/1.000/22212/21753
MAT,swh,cwe,0,,1071,CHRF3,52.31
MAT,swh,cwe,0,,1071,WER,47.56
MAT,swh,cwe,0,,1071,TER,72.97
MAT,swh,cwe,0,,1071,spBLEU,28.94
LUK,swh,cwe,0,,1150,BLEU,20.66/52.44/26.76/14.76/8.79/1.000/23652/23422
LUK,swh,cwe,0,,1150,CHRF3,51.14
LUK,swh,cwe,0,,1150,WER,46.05
LUK,swh,cwe,0,,1150,TER,72.42
LUK,swh,cwe,0,,1150,spBLEU,27.77
JHN,swh,cwe,0,,879,BLEU,19.90/52.88/26.93/14.11/7.81/1.000/18141/17360
JHN,swh,cwe,0,,879,CHRF3,51.41
JHN,swh,cwe,0,,879,WER,48.05
JHN,swh,cwe,0,,879,TER,75.15
JHN,swh,cwe,0,,879,spBLEU,26.38
ACT,swh,cwe,0,,1006,BLEU,13.39/45.69/18.90/8.63/4.32/1.000/22920/22075
ACT,swh,cwe,0,,1006,CHRF3,46.64
ACT,swh,cwe,0,,1006,WER,55.95
ACT,swh,cwe,0,,1006,TER,81.53
ACT,swh,cwe,0,,1006,spBLEU,20.08
ROM,swh,cwe,0,,433,BLEU,10.31/44.04/15.57/6.54/2.93/0.963/9530/9885
ROM,swh,cwe,0,,433,CHRF3,40.84
ROM,swh,cwe,0,,433,WER,58.48
ROM,swh,cwe,0,,433,TER,83.31
ROM,swh,cwe,0,,433,spBLEU,16.32
1CO,swh,cwe,0,,437,BLEU,11.55/43.68/17.08/7.34/3.37/0.991/9333/9418
1CO,swh,cwe,0,,437,CHRF3,41.36
1CO,swh,cwe,0,,437,WER,57.17
1CO,swh,cwe,0,,437,TER,81.48
1CO,swh,cwe,0,,437,spBLEU,17.24
2CO,swh,cwe,0,,256,BLEU,8.27/40.19/12.75/5.01/2.11/0.964/5842/6056
2CO,swh,cwe,0,,256,CHRF3,38.02
2CO,swh,cwe,0,,256,WER,61.83
2CO,swh,cwe,0,,256,TER,86.14
2CO,swh,cwe,0,,256,spBLEU,13.86
GAL,swh,cwe,0,,149,BLEU,12.07/44.71/17.36/8.00/3.96/0.964/3174/3290
GAL,swh,cwe,0,,149,CHRF3,40.69
GAL,swh,cwe,0,,149,WER,57.46
GAL,swh,cwe,0,,149,TER,81.44
GAL,swh,cwe,0,,149,spBLEU,17.68
EPH,swh,cwe,0,,155,BLEU,8.90/43.49/14.41/5.49/2.50/0.924/2987/3222
EPH,swh,cwe,0,,155,CHRF3,38.12
EPH,swh,cwe,0,,155,WER,60.80
EPH,swh,cwe,0,,155,TER,83.43
EPH,swh,cwe,0,,155,spBLEU,15.50
PHP,swh,cwe,0,,104,BLEU,8.85/38.96/13.31/5.20/2.28/1.000/2246/2144
PHP,swh,cwe,0,,104,CHRF3,39.36
PHP,swh,cwe,0,,104,WER,65.64
PHP,swh,cwe,0,,104,TER,90.43
PHP,swh,cwe,0,,104,spBLEU,14.79
COL,swh,cwe,0,,95,BLEU,7.93/41.30/13.04/4.99/1.80/0.952/2012/2112
COL,swh,cwe,0,,95,CHRF3,37.34
COL,swh,cwe,0,,95,WER,60.79
COL,swh,cwe,0,,95,TER,83.17
COL,swh,cwe,0,,95,spBLEU,13.51
1TH,swh,cwe,0,,89,BLEU,9.69/41.42/14.47/5.46/2.69/1.000/1789/1768
1TH,swh,cwe,0,,89,CHRF3,40.40
1TH,swh,cwe,0,,89,WER,60.17
1TH,swh,cwe,0,,89,TER,81.69
1TH,swh,cwe,0,,89,spBLEU,15.97
2TH,swh,cwe,0,,47,BLEU,12.49/44.09/16.47/8.05/4.98/0.956/964/1007
2TH,swh,cwe,0,,47,CHRF3,41.06
2TH,swh,cwe,0,,47,WER,58.19
2TH,swh,cwe,0,,47,TER,79.80
2TH,swh,cwe,0,,47,spBLEU,17.38
1TI,swh,cwe,0,,113,BLEU,10.20/43.11/16.18/6.78/3.10/0.927/2468/2655
1TI,swh,cwe,0,,113,CHRF3,39.80
1TI,swh,cwe,0,,113,WER,57.51
1TI,swh,cwe,0,,113,TER,80.58
1TI,swh,cwe,0,,113,spBLEU,16.84
2TI,swh,cwe,0,,83,BLEU,8.21/41.14/13.47/5.13/1.88/0.960/1687/1755
2TI,swh,cwe,0,,83,CHRF3,38.94
2TI,swh,cwe,0,,83,WER,56.33
2TI,swh,cwe,0,,83,TER,81.10
2TI,swh,cwe,0,,83,spBLEU,14.47
TIT,swh,cwe,0,,46,BLEU,6.78/37.51/10.58/4.06/1.35/0.993/1029/1036
TIT,swh,cwe,0,,46,CHRF3,38.23
TIT,swh,cwe,0,,46,WER,62.45
TIT,swh,cwe,0,,46,TER,87.14
TIT,swh,cwe,0,,46,spBLEU,11.28
PHM,swh,cwe,0,,25,BLEU,11.63/45.71/17.73/8.40/3.09/0.966/431/446
PHM,swh,cwe,0,,25,CHRF3,41.18
PHM,swh,cwe,0,,25,WER,60.13
PHM,swh,cwe,0,,25,TER,80.98
PHM,swh,cwe,0,,25,spBLEU,17.72
HEB,swh,cwe,0,,303,BLEU,9.75/42.57/15.77/6.48/2.44/0.961/6855/7131
HEB,swh,cwe,0,,303,CHRF3,39.98
HEB,swh,cwe,0,,303,WER,58.48
HEB,swh,cwe,0,,303,TER,82.04
HEB,swh,cwe,0,,303,spBLEU,15.52
JAS,swh,cwe,0,,108,BLEU,9.62/42.00/14.32/5.73/2.49/1.000/2293/2284
JAS,swh,cwe,0,,108,CHRF3,40.93
JAS,swh,cwe,0,,108,WER,57.20
JAS,swh,cwe,0,,108,TER,81.98
JAS,swh,cwe,0,,108,spBLEU,15.22
1PE,swh,cwe,0,,105,BLEU,9.52/42.25/14.69/6.16/2.36/0.976/2433/2491
1PE,swh,cwe,0,,105,CHRF3,40.28
1PE,swh,cwe,0,,105,WER,58.88
1PE,swh,cwe,0,,105,TER,82.88
1PE,swh,cwe,0,,105,spBLEU,15.85
2PE,swh,cwe,0,,61,BLEU,10.22/40.25/14.50/6.57/3.13/0.977/1523/1559
