book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,837,BLEU,22.14/54.56/28.52/16.26/9.49/1.000/22935/21626
ALL,swh,cwe,0,,837,CHRF3,56.02
ALL,swh,cwe,0,,837,WER,47.27
ALL,swh,cwe,0,,837,TER,69.95
ALL,swh,cwe,0,,837,spBLEU,30.75
ROM,swh,cwe,0,,433,BLEU,21.80/54.09/27.80/15.97/9.41/1.000/10494/9885
ROM,swh,cwe,0,,433,CHRF3,56.56
ROM,swh,cwe,0,,433,WER,48.36
ROM,swh,cwe,0,,433,TER,72.75
ROM,swh,cwe,0,,433,spBLEU,31.18
REV,swh,cwe,0,,404,BLEU,22.42/54.96/29.12/16.50/9.56/1.000/12441/11741
REV,swh,cwe,0,,404,CHRF3,55.54
REV,swh,cwe,0,,404,WER,46.09
REV,swh,cwe,0,,404,TER,67.64
REV,swh,cwe,0,,404,spBLEU,30.36
