book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,3170,BLEU,10.18/39.39/14.45/6.35/2.97/1.000/46236/45864
ALL,tam,mal,0,,3170,CHRF3,50.46
ALL,tam,mal,0,,3170,WER,58.02
ALL,tam,mal,0,,3170,TER,84.18
ALL,tam,mal,0,,3170,spBLEU,25.49
ROM,tam,mal,0,,432,BLEU,10.98/40.56/15.25/6.94/3.39/1.000/5993/5934
ROM,tam,mal,0,,432,CHRF3,50.94
ROM,tam,mal,0,,432,WER,57.45
ROM,tam,mal,0,,432,TER,83.55
ROM,tam,mal,0,,432,spBLEU,26.33
1CO,tam,mal,0,,437,BLEU,9.86/41.85/15.06/5.98/2.50/1.000/6107/6043
1CO,tam,mal,0,,437,CHRF3,53.19
1CO,tam,mal,0,,437,WER,54.63
1CO,tam,mal,0,,437,TER,82.37
1CO,tam,mal,0,,437,spBLEU,26.49
2CO,tam,mal,0,,256,BLEU,8.08/37.50/12.06/4.54/2.09/0.998/3928/3936
2CO,tam,mal,0,,256,CHRF3,48.65
2CO,tam,mal,0,,256,WER,60.84
2CO,tam,mal,0,,256,TER,88.12
2CO,tam,mal,0,,256,spBLEU,22.15
GAL,tam,mal,0,,149,BLEU,10.89/43.26/15.87/7.14/3.06/0.984/1951/1983
GAL,tam,mal,0,,149,CHRF3,53.12
GAL,tam,mal,0,,149,WER,54.42
GAL,tam,mal,0,,149,TER,81.08
GAL,tam,mal,0,,149,spBLEU,29.23
EPH,tam,mal,0,,155,BLEU,6.67/30.99/10.07/3.94/1.61/1.000/1833/1775
EPH,tam,mal,0,,155,CHRF3,44.72
EPH,tam,mal,0,,155,WER,68.56
EPH,tam,mal,0,,155,TER,95.03
EPH,tam,mal,0,,155,spBLEU,20.60
PHP,tam,mal,0,,104,BLEU,7.65/36.58/12.02/5.20/1.54/0.994/1419/1428
PHP,tam,mal,0,,104,CHRF3,46.45
PHP,tam,mal,0,,104,WER,61.07
PHP,tam,mal,0,,104,TER,87.16
PHP,tam,mal,0,,104,spBLEU,21.50
COL,tam,mal,0,,95,BLEU,8.07/31.33/10.52/5.12/2.51/1.000/1283/1240
COL,tam,mal,0,,95,CHRF3,45.03
COL,tam,mal,0,,95,WER,64.12
COL,tam,mal,0,,95,TER,93.07
COL,tam,mal,0,,95,spBLEU,20.83
1TH,tam,mal,0,,89,BLEU,13.36/42.99/18.03/8.97/4.59/1.000/1226/1190
1TH,tam,mal,0,,89,CHRF3,53.45
1TH,tam,mal,0,,89,WER,59.95
1TH,tam,mal,0,,89,TER,80.49
1TH,tam,mal,0,,89,spBLEU,27.98
2TH,tam,mal,0,,47,BLEU,9.86/38.55/13.94/6.14/2.87/1.000/664/621
2TH,tam,mal,0,,47,CHRF3,51.41
2TH,tam,mal,0,,47,WER,62.39
2TH,tam,mal,0,,47,TER,86.69
2TH,tam,mal,0,,47,spBLEU,26.36
1TI,tam,mal,0,,113,BLEU,5.69/30.35/8.19/3.15/1.34/1.000/1529/1451
